City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,iqaluit,63.7506,-68.5145,4.85,100,100,3.58,CA,1691607722
84,haiku-pauwela,20.9219,-156.3051,26.01,70,20,8.23,US,1691607882
85,polyarnyy,69.1989,33.4478,20.28,72,0,1.8,RU,1691607882
86,cabedelo,-6.9811,-34.8339,28.37,77,36,7.97,BR,1691607882
87,ushuaia,-54.8,-68.3,7.81,61,75,4.63,AR,1691607698
88,puerto natales,-51.7236,-72.4875,4.5,88,100,1.31,CL,1691607681
89,prineville,44.2999,-120.8345,28.06,27,0,1.54,US,1691607883
90,gustavsberg,59.3268,18.3898,14.43,89,100,8.64,SE,1691607884
91,puerto madryn,-42.7692,-65.0385,21.01,24,43,9.44,AR,1691607884
92,craig,40.5153,-107.5464,21.88,20,2,3.9,US,1691607705
93,rouissat,31.9243,5.3502,43.04,10,0,3.09,DZ,1691607885
94,naze,28.3667,129.4833,25.51,88,65,6.26,JP,1691607885
95,mandalgovi,45.7625,106.2708,22.85,37,100,5.83,MN,1691607885
96,saposoa,-6.934,-76.7716,33.45,37,24,1.94,PE,1691607885
97,bonthe,7.5264,-12.505,25.22,87,100,6.59,SL,1691607795
98,usinsk,65.9939,57.5281,13.84,75,100,3.1,RU,1691607886
99,tazacorte,28.629,-17.9293,25.64,84,20,6.69,ES,1691607886
100,brownwood,31.7093,-98.9912,42.0,26,0,6.69,US,1691607886
101,kenai,60.5544,-151.2583,13.41,94,100,2.57,US,1691607886
102,enewetak,11.3474,162.3373,28.32,77,73,6.29,MH,1691607886
103,tabou,4.423,-7.3528,24.46,81,97,5.29,CI,1691607887
104,slave lake,55.2834,-114.769,15.99,88,100,5.14,CA,1691607887
105,kirensk,57.7853,108.1119,16.78,91,100,1.35,RU,1691607887
106,weno,7.4515,151.8468,28.51,77,79,3.71,FM,1691607887
107,masvingo,-20.0637,30.8277,12.05,58,0,2.08,ZW,1691607887
108,bethel,41.3712,-73.414,29.45,52,40,4.12,US,1691607888
109,kailua-kona,19.6406,-155.9956,29.17,69,20,4.12,US,1691607803
110,chernyshevskiy,63.0128,112.4714,15.01,95,72,1.08,RU,1691607888
111,mikun',62.3547,50.0771,16.3,80,9,0.39,RU,1691607888
112,tura,25.5198,90.2201,23.66,98,100,0.98,IN,1691607888
113,port mathurin,-19.6833,63.4167,23.0,63,0,8.62,MU,1691607888
114,tazovsky,67.4667,78.7,7.67,89,100,7.29,RU,1691607889
115,balqash,46.8481,74.995,24.88,52,100,4.84,KZ,1691607889
116,ancud,-41.8697,-73.8203,11.44,85,100,13.33,CL,1691607639
117,glendive,47.1053,-104.7125,29.79,39,0,5.66,US,1691607889
118,myeik,12.4333,98.6,25.87,88,100,2.94,MM,1691607889
119,puerto ayora,-0.7393,-90.3518,30.98,84,97,3.13,EC,1691607890
120,badger,64.8,-147.5333,18.62,89,100,0.0,US,1691607890
121,kargasok,59.0556,80.8572,14.2,93,100,4.22,RU,1691607890
122,machali,-34.1833,-70.6667,13.6,72,100,2.83,CL,1691607617
123,east moriches,40.8051,-72.7609,30.29,50,20,7.72,US,1691607890
124,xilin hot,43.9667,116.0333,15.69,70,1,1.65,CN,1691607891
125,porlamar,10.958,-63.8491,34.05,55,100,6.17,VE,1691607891
126,mili,6.0815,171.735,27.55,76,61,1.92,MH,1691607891
127,selfoss,63.9331,-20.9971,15.02,66,100,2.51,IS,1691607891
128,bel ombre,-4.6167,55.4167,25.91,78,20,2.57,SC,1691607891
129,netrakona,24.8833,90.7167,27.15,88,100,1.65,BD,1691607892
130,primero de mayo,-32.2552,-58.4228,20.46,52,0,3.28,AR,1691607892
131,utrik,11.2278,169.8474,27.93,74,100,4.8,MH,1691607892
132,dryden,49.7833,-92.7503,18.16,59,75,8.23,CA,1691607809
133,tiksi,71.6872,128.8694,15.03,55,8,3.55,RU,1691607892
134,antsohihy,-14.8796,47.9875,21.28,84,3,1.22,MG,1691607893
135,vorkuta,67.5,64.0,10.5,71,85,2.36,RU,1691607893
136,flying fish cove,-10.4217,105.6791,23.82,88,40,5.66,CX,1691607893
137,mariehamn,60.0973,19.9348,14.92,77,20,5.66,AX,1691607893
138,aripuana,-9.1667,-60.6333,37.94,23,95,0.39,BR,1691607893
139,trairi,-3.2778,-39.2689,28.03,67,98,7.0,BR,1691607719
140,mawu,29.5923,107.3139,25.11,86,81,1.49,CN,1691607894
141,tobelo,1.7284,128.0095,25.55,82,97,3.58,ID,1691607894
142,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,76,0,3.0,RU,1691607894
143,atafu village,-8.5421,-172.5159,28.13,80,100,6.49,TK,1691607894
144,savalou,7.9281,1.9756,23.64,93,100,3.74,BJ,1691607894
145,karasburg,-28.0167,18.75,19.29,17,0,5.34,NA,1691607894
146,grants,35.1473,-107.8514,28.13,15,0,5.14,US,1691607895
147,tekoh,20.75,-89.4667,34.99,32,0,2.53,MX,1691607895
148,vila velha,-20.3297,-40.2925,23.97,85,75,4.12,BR,1691607847
149,marka,1.7159,44.7717,24.14,86,41,6.58,SO,1691607895
150,guiuan,11.0333,125.7247,28.19,78,100,3.6,PH,1691607895
151,pishin,30.5803,66.9961,27.42,15,5,0.94,PK,1691607896
152,touros,-5.1989,-35.4608,27.18,70,55,8.13,BR,1691607896
153,college,64.8569,-147.8028,18.66,89,100,0.0,US,1691607896
154,saint-louis,16.3333,-15.0,38.8,24,20,3.94,SN,1691607896
155,tangalle,6.024,80.7911,27.09,89,100,4.12,LK,1691607896
156,trenggalek,-8.05,111.7167,21.23,93,96,1.33,ID,1691607897
157,taseyevo,57.2169,94.8978,14.1,94,100,1.2,RU,1691607897
158,baise city,23.8997,106.6133,25.5,97,40,0.06,CN,1691607897
159,starobesheve,47.7504,38.0305,25.49,44,0,6.39,UA,1691607897
160,arraial do cabo,-22.9661,-42.0278,22.92,73,40,7.72,BR,1691607898
161,gamba,-2.65,10.0,22.26,86,15,3.03,GA,1691607898
162,deqen,29.9618,90.7188,12.81,80,51,2.19,CN,1691607898
163,tolanaro,-25.0319,46.9987,21.04,83,20,6.17,MG,1691607898
164,lipsko,51.3396,12.3713,18.32,54,0,2.68,DE,1691607899
165,nova vicosa,-17.8919,-39.3719,24.31,68,2,3.89,BR,1691607899
166,kyabe,9.4515,18.9449,21.45,97,100,2.4,TD,1691607899
167,hami,42.8,93.45,29.85,22,2,7.31,CN,1691607899
168,bethanie,-26.4833,17.15,20.5,20,88,4.3,NA,1691607899
169,chonchi,-42.6128,-73.8092,10.62,92,100,4.91,CL,1691607900
170,vilyuchinsk,52.9306,158.4028,13.15,83,100,3.18,RU,1691607900
171,da nang,16.0678,108.2208,28.99,74,20,0.51,VN,1691607901
172,olonkinbyen,70.9221,-8.7187,5.86,99,100,3.88,SJ,1691607901
173,fale old settlement,-9.3852,-171.2468,28.27,78,10,6.62,TK,1691607901
174,thompson,55.7435,-97.8558,18.09,48,40,5.14,CA,1691607617
175,neryungri,56.6709,124.6491,14.03,81,15,2.55,RU,1691607902
176,port victoria,0.0939,33.9756,22.46,66,6,0.31,KE,1691607902
177,kupang,-10.1667,123.5833,23.02,81,7,4.92,ID,1691607903
178,klyuchi,52.2667,79.1667,21.1,42,82,2.44,RU,1691607698
179,sinop,41.7711,34.8709,16.39,87,6,0.97,TR,1691607903
180,le port,-20.9373,55.2919,20.98,86,60,1.28,RE,1691607904
181,toliara,-23.35,43.6667,21.54,76,0,6.38,MG,1691607904
182,sinabang,2.4803,96.3801,25.77,86,100,4.42,ID,1691607904
183,okhotsk,59.3833,143.3,11.8,78,10,0.96,RU,1691607905
184,punta arenas,-53.15,-70.9167,4.06,93,100,3.09,CL,1691607905
185,jose pedro varela,-33.45,-54.5333,17.14,76,100,5.58,UY,1691607905
186,luanda,-8.8368,13.2343,23.0,73,0,3.6,AO,1691607906
187,shetpe,44.1667,52.1167,31.09,31,0,2.75,KZ,1691607906
